,Source,Expected,Predicted
0,'Because you must always be the belle of the ball.',— Ma perché voi siete dovunque la più bella.,— Perché si può sempre sempre il ballo di questo .
1,"Upon the whole, I found that the forty bushels of barley and rice were much more than I could consume in a year; so I resolved to sow just the same quantity every year that I sowed the last, in hopes that such a quantity would fully provide me with bread, &c.","Fatto questo computo, vidi che quaranta moggia d’orzo e di riso erano molto più di quanto io consumava in un anno, onde stabilii di seminare ogni anno la stessa quantità che io area seminata l’anno scorso, sperando che ciò mi avrebbe provveduto abbastanza di sussistenza per l’avvenire.","In tutto questo tempo io trovai che il grano di polvere e di polvere , erano più di un anno più che non poteva più ; ma io mi in un anno che mi in un anno , mi in un ’ altra parte di pane , mi con un ’ altra parte di pane e di pane ."
2,'And how do you agree with Spencer yourself in this matter?',— E come mai voi stesso concordate in questo con lo Spencer? — domandò Levin.,— E come sei di buono per te ?
3,"Having done all this I left them the next day, and went on board the ship.","Adempiute tutte queste cose, li lasciai nel dì seguente, e venni a bordo del vascello.","tutti i miei compagni , e il giorno , e andò a bordo del vascello ."
4,How good one feels when one is full - how satisfied with ourselves and with the world!,Come uno si sente buono quando è sazio — come soddisfatto di sè stesso e del mondo!,Come si fa bene quando è molto bello ! con noi e con la mondo !
5,"Well, good-bye!'","Be’, addio.","Su , addio ."
6,"I felt the truth of these words; and I drew from them the certain inference, that if I were so far to forget myself and all the teaching that had ever been instilled into me, as--under any pretext--with any justification--through any temptation--to become the successor of these poor girls, he would one day regard me with the same feeling which now in his mind desecrated their memory.","Capii che il signor Rochester diceva la verità e ne arguii che, se mi fossi abbandonata a lui, dimenticando i principii che mi erano stati inculcati; se, spinta dalla tentazione, e sotto un pretesto qualsiasi, e anche con tutte le scuse possibili attenuanti, mi fossi decisa a succedere a quelle disgraziate, un giorno il mio ricordo avrebbe suscitato nel signor Rochester lo stesso sentimento che eccitava ora in lui il ricordo di quelle donne.",""" la verità , e io mi che non mi , se non mi fosse stata più la forza di , e che mi aveva fatto più spesso la vostra volontà , con la vostra volontà , con ogni giorno , la sua volontà , la sua bontà mi con la sua presenza ."
7,"Bless you, no! He would not cross the door-stones of the house, except at night, when he walked just like a ghost about the grounds and in the orchard as if he had lost his senses--which it is my opinion he had; for a more spirited, bolder, keener gentleman than he was before that midge of a governess crossed him, you never saw, ma'am.","— No davvero; non passava la soglia di casa, altro che di notte per vagare nei campi o nel pomario. Si sarebbe detto che avesse perduto la testa, e credo che l'avesse perduta in fatto, perché prima era l'uomo più vivo, più ardito e più furbo che vi fosse al mondo.","E chi è vero , che non fosse la porta della casa della casa , non vi era quando , quando , quando , quando , quando si era un ' altra parte del giardino , si era a un signore che non aveva mai fatto più che il signore , non aveva mai visto nulla di più che non c ' era mai più ."
8,"The new committee for investigating the conditions of the subject-races from every point of view had been formed and sent to its field of action with unusual promptitude and energy, stirred up by Karenin.","La nuova commissione per investigare sotto tutti i rapporti la vita degli allogeni, era stata sostituita e mandata sul posto con inconsueta sollecitudine ed energia suscitate da Aleksej Aleksandrovic.","Il quadro di Michajlov per la vita della situazione di cui si era stato fatto in ogni modo di fare , e si era stato fatto in modo particolare il suo posto , e si fermò con Aleksej Aleksandrovic , si fermò da Aleksej Aleksandrovic ."
9,This seemed to me most unreasonable.,Questo mi parve assai irragionevole.,Questo mi parve più .
10,"'It wasn't very civil of you to sit down without being invited,' said the March Hare.","— Neppure è stata creanza da parte tua sederti qui senza essere invitata, — osservò la Lepre di Marzo.","— Non c ’ è nulla di non aver nulla di , non vi nulla — disse la Lepre di Marzo ."
11,"'KITTY WRITES THAT SHE WISHES FOR NOTHING SO MUCH AS seclusion and quiet,' said Dolly after a pause in the conversation.",— Kitty mi scrive che desidera soltanto solitudine e calma — disse Dolly dopo il silenzio sopravvenuto.,"— Kitty era stata una volta di là . — di là , di là e di là — disse Dolly , dopo aver visto un po ’ di conversazione ."
12,"She felt as if the words she had used to her husband, which she kept repeating in imagination, had been said by her to every one and that every one had heard them.","Le sembrava che le parole, che ella aveva dette al marito e che incessantemente ripeteva nella mente, le avesse dette a tutti e che tutti le avessero udite.","Sentiva come se le parole della sua marito fosse stato in lei , che aveva detto a chi fosse stato , aveva detto a tutti quelli che aveva detto a tutti e che tutti gli avevano sentito tutti quelli che avevano detto ."
13,"My conscience presently checked me in that inquiry, as if I had blasphemed, and methought it spoke to me like a voice: “Wretch! dost _thou_ ask what thou hast done? Look back upon a dreadful misspent life, and ask thyself what thou hast _not_ done?","Domanda perchè non sei stato ben prima d’ora distrutto; perchè non rimanesti sommerso dinanzi al lido di Yarmouth, o ucciso nella zuffa quando il tuo vascello fu predato dal corsaro di Salè, o divorato dalle belve feroci in su la costa d’Africa, o annegato qui quando tutti i tuoi compagni rimasero preda dell’onde di te in fuori?","La mia risposta mi parve che il suo sguardo mi aveva detto , se mi avesse detto : "" a me , a un tratto , a , e che non avete mai fatto ?"
14,"The half of August, the whole of September, and the half of October—rainy, the sun being then come back.","Ultima metà di agosto Settembre Prima metà di ottobre Piovosa, il sole retrocedendo dalla linea.","La mattina di circa di circa circa di circa circa circa circa circa dieci miglia , il sole , il sole fu andato a bordo , il sole , che mi ."
15,"'J'ai forcé la consigne! ['I've forced my way in.'] she said as she entered with hurried steps, breathing heavily from her rapid movement and from excitement.","— J’ai forcé la consigne — disse, entrando a passi svelti e ansante per l’agitazione e il movimento rapido. — Ho sentito tutto!","— di la ! — , guardando con un sorriso , guardando con la cavalla che si avvicinava ."
16,"What is God?""",Chi è?,Che Dio mio ?
17,"I wrenched open two planks, and brought them on shore also with the tide. I left the iron crow in the wreck for next day.","Trattene due tavole, portai anche queste al lido con l’aiuto dell’alta marea, e lasciai ove gli aveva portati i rampiconi per valermene nel dì seguente.","i due passi , e la spiaggia , la spiaggia , la marea si a terra ."
18,"""What then, Die?"" he replied, maintaining a marble immobility of feature.","— Ebbene, Diana? — riprese serbando una faccia impassibile. — Ebbene?","— Che cosa mi ? — rispose , volgendosi a un ' altra luce ."
19,"He was never without a cold, except once for nine weeks while he had scarlet fever; and he always had chilblains.","Egli non stette mai senza raffreddore, salvo una volta per nove settimane in cui ebbe la scarlattina; ed ebbe sempre i geloni alle mani e ai piedi.","Non era un ' altra volta , né dopo una volta , non appena aveva visto la mia storia , e aveva sempre dimenticato di non parlare ."
20,"We have no machines, no good horses, no proper management, and we do not know how to keep accounts.","Ma noi non abbiamo macchine né buon bestiame da lavoro, non abbiamo una buona amministrazione, e non sappiamo fare i conti.","Non ci sono , né , né il denaro , non ci ci ci si può ."
21,"Upon this, our guide, who, by the way, was but a fainthearted fellow, bid us keep in a ready posture, for he believed there were more wolves a-coming.","Quindi il nostro conduttore che, noteremo qui per parentesi, era un solennissimo poltrone, nè avvertì di metterci su le difese, perchè, a quanto credea, saremmo stati poco a vederne degli altri.",", la nostra nostra , che era la nostra , ma era un uomo che ci si in modo di , per noi non essere stato più di più ."
22,"Although a prince may rise from a private station in two ways, neither of which can be entirely attributed to fortune or genius, yet it is manifest to me that I must not be silent on them, although one could be more copiously treated when I discuss republics.","Ma perché di privato si diventa principe ancora in dua modi, il che non si può al tutto o alla fortuna o alla virtù attribuire, non mi pare da lasciarli indrieto, ancora che dell'uno si possa più diffusamente ragionare dove si trattassi delle repubbliche.","Sebbene uno principe debbe essere in uno principe , in due , né l ' altro che si può essere , né el populo o in quella fortuna , e , dopo che , non posso più , quando si a ' principi , non si più ."
23,"'There now!' said Katavasov with a drawl, a habit he had fallen into when lecturing. 'What a talented fellow our friend Constantine Dmitrich used to be!","— Ecco dunque — diceva Katavasov, strascinando le parole per un’abitudine dovuta all’insegnamento cattedratico — quale ragazzo pieno di possibilità era il nostro amico Konstantin Dmitric!","— Ecco , ora — disse Katavasov , indicando con un , e dopo aver sentito , come un amico — che il vecchio amico Konstantin Dmitric , il vecchio , si era venuto a Konstantin Dmitric ."
24,'But what motive had you for pretending?' said Varenka softly.,— Ma a quale scopo fingere? — disse piano Varen’ka.,"— Ma che cosa vi ho fatto , per sapere ? — disse Varen ’ ka ."
25,"The other articles I made up in a parcel; my purse, containing twenty shillings (it was all I had), I put in my pocket: I tied on my straw bonnet, pinned my shawl, took the parcel and my slippers, which I would not put on yet, and stole from my room. ""Farewell, kind Mrs. Fairfax!"" I whispered, as I glided past her door.","Feci un involto dell'altra roba, mi misi in tasca la borsa, che conteneva venti scellini (non possedevo altro) mi misi il cappello e lo scialle e senza mettermi le scarpe per non far rumore uscii dalla stanza. — Addio, mia buona signora Fairfax! — dissi passando cautamente dinanzi alla sua porta.","La sua mano mi a un di , la mia , che era tutto il cappello , e il cappello , mi il cappello , che non avrebbe il cappello , e mi il cappello , e mi di il signor Rochester . — La signora Fairfax , che non mi la signora Fairfax ."
26,"He had now got over his fright, and his spirits being a little raised with the dram I had given him, he was very cheerful, and told me, as before, he would die when I bid die.","Mandata or via la paura, e rallegrati e rinfrancati alquanto i suoi spiriti dal rum bevuto, mi ripete con fermezza quanto mi avea detto poco prima: — «Me morire quando voi comandarmi morire, padrone.»","Era ora che la sua paura , il suo moschetto , mi aveva il mio moschetto , e che mi aveva fatto molto bene , mi disse che , come se avessi fatto , mi avrebbe fatto a , quando mi avrebbe fatto a ."
27,That is his hobby just now.,È il suo dada adesso.,Ecco il suo denaro .
28,CHAPTER X,X,X
29,I know him very well.,Lo conosco molto bene.,Lo so molto bene .
30,"However, I will improve on it later,' he said to himself with a smile.",Ma.... ci penserò meglio” disse fra sé con un sorriso.,"Ma , dopo aver fatto il divorzio , io lo — disse con un sorriso ."
31,'Is he going definitely?' inquired Karenin.,— E lui va via definitivamente? — domandò Aleksej Aleksandrovic.,— È stato in fretta ? — domandò Aleksej Aleksandrovic .
32,"Harris said that, to himself, it was always a mystery how people managed to get sick at sea - said he thought people must do it on purpose, from affectation - said he had often wished to be, but had never been able.","Harris osservò che per lui era un mistero come mai avvenisse a tanti di soffrire il mal di mare — forse lo facevano a bella posta, per affettazione. Lui, per quanto ci si fosse provato, non ci era mai riuscito.","Harris disse che , in modo , era sempre un ’ altra cosa , come si fosse a la cosa , diceva che si sarebbe stato fatto , avrebbe dovuto dire che non avesse mai potuto , ma che non aveva mai potuto ."
33,"THE DOCTOR WAS NOT YET UP, and his footman said he had gone to bed late and given orders that he was not to be called, but the footman added that he would be up soon.","Il dottore ancora non s’era alzato, e il cameriere disse che “il signore s’era coricato tardi e aveva ordinato di non svegliarlo, ma che presto si sarebbe alzato”.","Il dottore non si fermò , e il cameriere gli aveva fatto il pranzo , e si era andato in tempo a letto , e si fermò a letto , ma il cameriere che gli avrebbe fatto il cameriere ."
34,"It behoved him, therefore, to upset this state of affairs and embroil the powers, so as to make himself securely master of part of their states.","Era adunque necessario si turbassino quelli ordini, e disordinare li stati di coloro, per potersi insignorire securamente di parte di quelli.",", per questo stato di questo stato di essere e di essere , come se li a ' tempi ."
35,"Anna, left alone, spent part of the time before dinner in seeing her son have his dinner (he dined apart), in putting her things in order, and in reading and answering the notes and letters that had accumulated on her table.","Rimasta sola, Anna occupò il tempo, fino all’ora del pranzo, nell’assistere al pasto del figlio (egli pranzava separatamente), nel mettere in ordine le sue cose, nel leggere e rispondere ai biglietti e alle lettere che le si erano ammonticchiati sullo scrittoio.","Anna , appena si era sola , aveva visto il tempo di andare a pranzo , dopo aver fatto il pranzo , e , per aver fatto il pranzo , si era messo in mente , per e per la tavola , si era di ."
36,"And I was placed there, by whom I don't know: I was in no condition to note particulars; I was only aware that they had hoisted me up to the height of Mr. Brocklehurst's nose, that he was within a yard of me, and that a spread of shot orange and purple silk pelisses and a cloud of silvery plumage extended and waved below me.","Mi accorsi che mi avevano alzata sulla sedia, ma non so chi fosse stata.","E io fui da cui non so che non potevo fare in mente ; non so che il ritratto di , non potevo neppure il naso di quel che mi aveva fatto il naso di un e di seta , che mi di sotto di un vassoio di seta , di seta e di seta che mi a un di seta e di seta e di seta e di seta ."
37,"'I know you and, like every Russian, I know –' here he again caught a moth – 'your useful activity,' said the lawyer bowing.","— Conosco voi e la vostra utile... — e qui di nuovo afferrò una tignola — attività, come ogni russo, del resto — disse l’avvocato, inchinandosi.","— Io so , come tutti i rapporti di questo — disse . — Io capisco che un ’ occhiata — disse , sorridendo di nuovo , il portiere ."
38,"And for the platonic love there can be no tragedy either, because there everything is clear and pure, because...'","E per l’amore platonico neppure può esservi dramma perché in un amore simile tutto è chiaro, puro, perché...","E per questo amore non può essere né la questione , perché c ’ è tutto e semplice , perché ...."
39,Here the honest but inflexible servant clapped the door to and bolted it within.,"E allora l'onesta, ma inflessibile serva, chiuse la porta e tirò il chiavistello.",Qui il signor Rochester voleva tornare alla porta e il signor Rochester .
40,"He did not wish to think about his wife's conduct and feelings at all, and he really did not think about them.","Aleksej Aleksandrovic non voleva pensare nulla circa la condotta di sua moglie, e realmente non ne pensava nulla.","Non voleva pensare alla moglie della moglie e di tutti i sentimenti di tutti , e non sapeva che cosa fosse ."
41,"The gardener saw with surprise that, though nothing had been pursuing them and there had been nothing to run away from, and they could not have found anything very blissful on that seat, they passed him on their way back to the house with quieted and beaming faces.","Il giardiniere si accorse con stupore, che, sebbene nulla li inseguisse e non ci fosse motivo alcuno di fuggire e sebbene nulla di particolarmente gioioso avessero potuto trovare sulla panchina — il giardiniere si accorse che tornavano a casa, passandogli accanto, con il viso rasserenato, luminoso.","La carrozza era venuta con sorpresa , che non aveva mai potuto e non c ’ erano mai , e non si poteva fare nulla da che si era fatto un che si era fatto da un , e si era con la casa , si era e si era ."
42,The memory of her husband's grief did not poison her happiness.,Il ricordo dell’infelicità del marito non avvelenava più la sua felicità.,La sua lettera di il suo marito non era il cuore di lei .
43,"In listening, I sobbed convulsively; for I could repress what I endured no longer; I was obliged to yield, and I was shaken from head to foot with acute distress.","Nell'ascoltarlo singhiozzavo convulsamente, non potevo reprimere i miei sentimenti, e provavo dalla testa ai piedi uno spasimo atroce.","Quando io mi le sue forze e mi ; non potevo nulla , perché ero più presto a e a con la testa , che mi in piedi ."
44,"But Vasily Lukich only thought that Serezha must prepare his grammar lesson, as his teacher was coming at two.",Ma Vasilij Lukic pensava solo che bisognava studiare la lezione di grammatica per il maestro che sarebbe venuto alle due.,Ma Vasilij Lukic voleva che il suo era la sua .
45,"I know not how it was—but, with the first glimpse of the building, a sense of insufferable gloom pervaded my spirit.","Non saprei dire perchè, – ma è un fatto che al primo colpo d'occhio che gettai su quella costruzione, un sentimento di tristezza insopportabile mi penetrò nell'anima.","Non so come fosse la prima , ma con la prima grande natura di una specie di vita , di cui era un sentimento di cui mi ."
46,You might have been free!,Saresti libero.,"Se vi , non vi ."
47,'This is becoming intolerable!',— Diventa insopportabile!,— Questo è che lo !
